MAFUTA,  QUANTITY (pcs/pkts),FACTORY PRICE,SELLING PRICE,TOTAL
primer Sipek,6,80,120,480
Metal Bpads,2,130,4@10,260
Davis short,12,35,50,420
Sponge,12,20,50,240
VC lip gloss shine with brush,6,20,30/40,120
Kids pony,12,20,50,240
Love chain,36,25,50,900
Nail glue,12,30,50,360
Ivory comb,5,40,50,200
,,,,TOTAL=203790
